T23,Threatened species,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
16,American Samoa,2016,Threatened Species: Total (number),92.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
16,American Samoa,2017,Threatened Species: Total (number),92.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
16,American Samoa,2018,Threatened Species: Total (number),92.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
16,American Samoa,2019,Threatened Species: Total (number),95.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
16,American Samoa,2020,Threatened Species: Total (number),99.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2004,Threatened Species: Vertebrates (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2010,Threatened Species: Vertebrates (number),4.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2016,Threatened Species: Vertebrates (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2017,Threatened Species: Vertebrates (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2018,Threatened Species: Vertebrates (number),6.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2019,Threatened Species: Vertebrates (number),6.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2020,Threatened Species: Vertebrates (number),6.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2004,Threatened Species: Invertebrates (number),4.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2010,Threatened Species: Invertebrates (number),4.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2016,Threatened Species: Invertebrates (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
20,Andorra,2017,Threatened Species: Invertebrates (number),8.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
